index,cafe_name,city,province,phone_number,cost,work_start,work_end,cafe_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
30, شهر خوردو  ,karaj,مهرشهر,1596,2,08:00:00,00:00:00,مهرشهر، بلوار شهرداری، نبش شهرداری 205,False,True,True,False,False,False,False,True,0,0,0,0,0,35.79833187415961,50.901820063591
31, قلب خورشید (کرج) ,karaj,عظیمیه,09190227841,2,12:00:00,23:00:00,عظیمیه ، بلوار شریعتی ،خیابان نیک نژاد شمالی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.8357675546156,51.01483225822449
32, پدرا (عظیمیه) ,karaj,میدان اسبی,02632555961,2,12:00:00,00:00:00,میدان اسبی، بلوار استقلال شمالی، نبش کوچه میر زنده دل,False,True,False,False,False,False,False,True,4,4,4,4,0,35.83677867337904,51.01997673511505
33, لوئیجی ,karaj,مهرشهر,02634990773,2,10:00:00,00:00:00,مهرشهر، بلوار شهرداری، نبش خیابان 205,False,False,True,False,False,False,False,True,0,0,0,0,0,35.79829271535936,50.90180933475494
34, فانوس (کرج) ,karaj,جهانشهر,02634205700,2,09:00:00,00:00:00,جهانشهر، نبش میدان مدنی، نبش خیابان مهران,False,True,False,False,False,False,False,True,0,0,0,0,0,35.82809132959332,50.9899091720581
35, رست (کرج) ,karaj,عظیمیه,02632532193,2,11:00:00,23:00:00,عظیمیه، بالاتر از میدان استقلال( میدان اسبی),False,True,False,False,False,False,False,True,4,4,4,4,0,35.83734402448996,51.02004647254944
36, دارچین ,karaj,جهانشهر,02634409628,2,08:30:00,23:00:00,جهانشهر،میدان هلال احمر،خیابان هلال احمر،نبش کوچه سنبل,False,True,False,True,True,False,False,True,4,4,4,4,0,35.82431546347022,50.98786801099777
37, سون (کرج) ,karaj,جهانشهر,02634209363,2,10:00:00,00:00:00,جهانشهر، استانداری شمالی,True,True,False,False,False,False,False,True,0,0,0,0,0,35.83540224402251,50.98656177520752
38, کهن دیاران ,karaj,بلوار شورا جنوبی,02632218178,2,12:00:00,00:00:00,بلوار شورا جنوبی، کافه رستوران کهن دیاران,False,True,False,False,False,False,False,True,0,0,0,0,0,35.8198174,51.0164923
39, بخارا (کرج) ,karaj,خیابان هلال احمر,02634473334,2,09:00:00,23:00:00,خیابان هلال احمر، نبش فتوح,False,True,False,False,False,False,False,True,4,2,5,2,0,35.82492059276356,50.98788142204285
40, ژوزک (فودکورت برج میلاد کرج) ,karaj,عظیمیه,22093205,2,08:00:00,00:00:00,عظیمیه، بلوار طالقانی شمالی، بعد از پل آزادگان، نبش خیابان حسینی، برج میلاد، طبقه 2,False,True,False,False,False,False,True,True,0,0,0,0,0,35.83223234294451,50.99961407482624
41, ژوزک (مهرشهر) ,karaj,مهرشهر,22093205,2,08:00:00,00:00:00,مهرشهر، چهارباندی، فاز 3، نبش خیابان 307، پلاک 298,False,True,False,False,False,False,False,True,0,0,0,0,0,35.79361527538714,50.8901309967041
42, اکسپوز ,karaj,مهرشهر,02633422874,2,09:00:00,00:00:00,مهرشهر، بلوار شهرداری، خیابان 341,False,False,True,False,True,False,False,True,5,5,5,5,0,35.7900210739758,50.89294195175171
43, بلانچ (میدان عطار) ,karaj,کرج,02633554697,2,08:00:00,23:30:00,کرج ، خیابان درختی ، میدان عطار,False,False,False,False,False,False,False,True,4,4,4,4,0,35.81655167489695,50.95307774841785
44, مانا ,karaj,مهرویلا,02634236058,2,12:00:00,00:00:00,مهرویلا، ابتدای خیابان درختی، جنب بانک ملت,True,True,False,True,True,False,False,True,0,0,0,0,0,35.81541632233973,50.95848441123962
45, شمس ,karaj,مهرشهر,2633400188,2,12:00:00,23:00:00,مهرشهر، بلوار شهرداری، نبش خیابان 109,True,True,True,True,True,False,True,True,1,2,4,2,0,35.80091848771776,50.9078899025917
46, رویال پالاس (مهرشهر) ,karaj,مهرشهر,02633411623,2,11:00:00,00:00:00,مهرشهر، بلوار شهرداری، انتهای خیابان 109,False,True,False,False,False,False,False,True,2,2,2,2,0,35.8037791102684,50.90240478515625
47, شمس العماره (گوهردشت) ,karaj,گوهردشت خيابان هشتم غربي (فاز دوم ) كاشي 18,02634440452,2,09:00:00,22:00:00,گوهردشت خيابان هشتم غربي (فاز دوم ) كاشي 18,False,True,False,False,False,False,False,True,0,0,0,0,0,35.85300699671814,50.97561836242676
48, کاردو (گلشهر) ,karaj,۴۵متری گلشهر,02633537360,2,11:30:00,23:30:00,۴۵متری گلشهر،نبش کوکب غربی,False,True,True,False,False,False,False,True,0,0,0,0,0,35.82074603105342,50.93640714883804
49, د می ز (عظیمه) ,karaj,عظیمیه,09901863156,3,10:00:00,00:00:00,عظیمیه، میدان طالقانی به سمت بام، نبش ندا شمالى,True,True,False,True,False,False,False,True,1,4,3,3,0,35.84480193313371,51.01040124893188
50, بوفالو (مهرشهر) ,karaj,كرج_مهرشهر بلوار ‎شهرداري(چهارباندي) بين خيابان 213-215,33408952026,2,10:30:00,23:30:00,كرج_مهرشهر بلوار ‎شهرداري(چهارباندي) بين خيابان 213-215,True,True,False,False,False,False,False,True,3,3,3,3,0,35.79639131483837,50.89751243591308
51, دوران (عظیمیه) ,karaj,کرج,02632512141,2,11:00:00,00:00:00,کرج، عظیمیه، میدان بهارستان,True,True,True,False,False,False,False,True,4,4,4,4,0,35.84149053430107,51.01940810680389
52, گارنیش (جهانشهر) ,karaj,‎كرج ميدان جمهوري بلوار ماهان غربي بعد از تالار لوتوس خيابان ارغوان كوچه بهار شرقي,02634474023,2,09:00:00,00:00:00,‎كرج ميدان جمهوري بلوار ماهان غربي بعد از تالار لوتوس خيابان ارغوان كوچه بهار شرقي,True,True,False,False,False,False,False,True,4,5,5,4,0,35.83811593969324,50.97809672355652
53, فرست کلاس (گوهردشت) ,karaj,کرج,02634457327,2,11:00:00,00:00:00,کرج،فلکه اول گوهردشت،خیابان دوم شرقی,True,True,False,False,False,False,False,True,2,2,5,2,0,35.84438013426859,50.9723836183548
54, خلیفه گاردن ,karaj,مهرشهر,02633400607,2,12:00:00,00:00:00,مهرشهر،خ شهرداری،خ صد ،بین خ 116و117,True,True,False,True,True,False,False,True,3,4,4,3,0,35.805378784221,50.9002442657948
55, آرتمیس ,karaj,مهرشهر,02633412347,2,12:00:00,00:00:00,مهرشهر ،مسیح پاکدل شرقی,True,True,False,True,True,False,True,True,5,4,5,4,0,35.79476893015839,50.89556544176639
56, ظفر ,karaj,فلکه اول گوهردشت,02634212369,2,10:00:00,23:00:00,فلکه اول گوهردشت،خیابان آرش،بعد از درب ورودی پارکینگ نیکامال,True,True,True,True,False,False,False,True,5,5,5,5,0,35.84316908073099,50.97254991531372
57, فونگو ,karaj,گوهردشت,02634211196,2,11:00:00,00:00:00,گوهردشت،چهارراه ملك شاه،روبروي پاساژ ملاصدر، نبش پنجم شرقي,False,False,True,False,False,False,False,True,4,4,4,4,0,35.84311847411559,50.97734586328636
58, آن لو (جهانشهر) ,karaj,جهانشهر,02634212397,2,11:00:00,23:00:00,جهانشهر، میدان مدنی، ابتدای خیابان هلال احمر,False,False,False,False,False,False,False,True,0,0,0,0,0,35.82760526890328,50.98804719939209
59, کارزین (کرج) ,karaj,ابتدای جاده مشکین دشت,42268,2,08:30:00,21:30:00,ابتدای جاده مشکین دشت، رزکان نو، مجتمع اکومال,False,False,False,False,False,False,False,True,4,4,4,4,0,35.77428473889014,50.97525894641876
60, نی وی ,karaj,۴۵ متری گلشهر,02634641762,2,11:00:00,23:00:00,۴۵ متری گلشهر،ابتدای بلوار محمدی,False,False,True,False,False,False,False,True,0,0,0,0,0,35.83007558631956,50.93965086411595
61, ژارلس ,karaj,رجایی شهر روبروی دانشگاه آزاد,2634417455,1,09:00:00,00:00:00,رجایی شهر روبروی دانشگاه آزاد,False,False,True,False,False,False,False,True,4,4,4,4,0,35.8538780172429,50.98223833230099
62, وافل ,karaj,کرج- جهانشهر-بلوار مولانا,9016211245,1,12:00:00,23:00:00,کرج- جهانشهر-بلوار مولانا,False,False,False,False,False,False,False,True,5,5,5,5,0,35.83651774073826,50.9843797981739
63, امیر شکلات پلاس (کرج) ,karaj,جهانشهر بلوار مولانا بعد از کسری شمالی,34497653,2,08:30:00,23:00:00,جهانشهر بلوار مولانا بعد از کسری شمالی,False,True,True,False,False,False,False,True,5,5,5,5,0,35.8365416595994,50.9844297543168
64, تی تی ,karaj,"بلوار موذن,خیابان پیروزی جنوبی, نبش نوزدهم",02634344808,2,09:00:00,00:00:00,"بلوار موذن,خیابان پیروزی جنوبی, نبش نوزدهم",True,True,False,True,False,True,False,True,5,5,5,5,0,35.870981,50.97107
65, ریبون ,karaj,میدان والفجر,02632742069,2,10:00:00,23:30:00,میدان والفجر،ابتدای بلوار سرداران,False,False,False,False,False,False,False,True,5,5,5,5,0,35.82054485491297,50.97078770399093
66, کافه سیبیل ,karaj,بلوار ارم,09125640364,2,11:00:00,00:00:00,بلوار ارم ، سه راه شهرداری ،فودکورت مجتمع پاسارگاد,False,True,True,False,False,False,False,True,0,0,0,0,0,35.8142592030287,50.90423673391342
67, دالون ,karaj,بلوار رستاخیز,09300060013,2,08:00:00,00:00:00,بلوار رستاخیز، نبش هفتم غربی، جنب فست فود بکسمات,False,True,True,False,False,False,False,True,4,3,3,5,0,35.85658747776333,50.97183108329773
68, شمس ,karaj,مهرشهر,33400188,2,12:00:00,00:00:00,مهرشهر،بلوار شهرداری،نبش خیابان109,False,True,False,False,False,False,True,True,4,4,5,4,0,35.80095982064016,50.90773165225983
69, بلانچ ,karaj,كرج,9126195499,2,12:00:00,00:00:00,كرج ، عظيميه ، ميدان بهارستان,False,True,False,False,False,False,False,True,3,4,4,3,0,35.84113829595571,51.0207787156105
70, چنین ,karaj,جهــانشهــر,34217217,3,11:30:00,16:00:00,جهــانشهــر، خيابان استاندارى، روبروي كوچه زُهـــــره,False,True,False,False,False,True,False,True,4,4,4,3,0,35.828182,50.985061
71, مازو ,karaj,عظیمیه,32532193,2,08:00:00,00:00:00,عظیمیه ، بلوار استقلال ، ضلع شمالی میدان اسبی,False,False,False,False,False,False,False,True,4,3,3,4,0,35.8371010478949,51.02003502537832
72, هاوانا ,karaj,گوهر دشت,34420566,2,10:00:00,23:00:00,گوهر دشت،خیابان 13غربی ،فاز 2،پلاک 68,False,True,False,True,False,False,False,True,4,5,4,5,0,35.85909176184203,50.97846150398254
73, پلاس ,karaj,عظیمیه,32527730,2,08:00:00,12:00:00,عظیمیه، ضلع جنوب شرقی میدان گلستان,False,True,True,False,False,False,False,True,4,5,5,5,0,35.84034575395969,51.01521179080009
74, الف ,karaj,گوهردشت خیابان هشتم شرقی.پلاک ٧٦,34464570,2,09:00:00,23:30:00,گوهردشت خیابان هشتم شرقی.پلاک ٧٦,False,True,False,False,False,True,False,True,4,4,2,4,0,35.8479456590508,50.9787084635636
75, لانژ ,karaj,عظیمیه,32549212,2,08:00:00,00:00:00,عظیمیه،میدان اسبی،ضلع شمالی پارک ایران زمین,True,True,False,True,False,True,False,True,4,4,5,3,0,35.836773,51.018948
76, داریوش ,karaj,کرج,32556413,2,08:00:00,00:00:00,کرج،عظیمیه،بالاتراز میدان استقلال،نبش کوچه الهام,False,True,False,True,False,True,False,True,2,3,3,2,0,35.8374000872773,51.0199732397867
77, صدایت ,karaj,گوهردشت,34490849,2,11:00:00,23:30:00,گوهردشت،خیابان دوازدهم شرقی طبقه زیرین پاساژ سرخه,False,True,False,True,False,False,False,True,0,0,0,0,0,35.8551681293571,50.9791409567212
78, دیاکو (کرمان) ,kerman,بلوار جمهوری,03432111389,2,11:00:00,00:00:00,بلوار جمهوری ، خیابان هوشنگ مرادی کوچه شماره ۹,True,True,True,False,False,False,False,True,0,0,0,0,0,30.27802584719262,57.02391386032104
79, پنج و نیم ,kerman,خیابان بهمنیار ۲۴,09017765438,2,08:30:00,00:00:00,خیابان بهمنیار ۲۴، انتهای محوطه پارکینگ,False,True,False,True,False,True,False,True,4,3,4,3,0,30.2921987128311,57.0446272194386
80, رویال ,kerman,خیابان فیروزه ابتدای خیابان پروین اعتصامی غربی,3432529021,1,06:45:00,13:00:00,خیابان فیروزه ابتدای خیابان پروین اعتصامی غربی,False,False,True,False,False,False,False,True,0,0,0,0,0,30.28139951825035,57.04883962869644
81, ریتون ,kerman,خیابان بهمنیار,32469231,2,09:00:00,00:00:00,خیابان بهمنیار ، بهمنیار 24,False,True,False,True,False,False,False,True,0,0,0,0,0,30.29431290084265,57.04653024673462
82, پیانو ,kerman,بلوار جمهوری,09131437692,2,09:30:00,23:00:00,بلوار جمهوری،  خیابان والفجر جنوبی ، نرسیده به بلوار شهید صدوقی,False,True,False,False,False,False,False,True,0,0,0,0,0,30.2832883991106,57.04330086708069
83, شربت چیان  ,kerman,بلوار شیراز,32472087,2,06:30:00,22:00:00,بلوار شیراز،خیابان شهیدان قطبی نژاد (کوچه درختی)،نبش 11,False,True,False,False,False,False,False,True,4,4,4,4,0,30.29773192734459,57.04096573728748
84, رز ,kerman,خیابان هزار و یک شب کوچه 5 ابتدای کوچه سمت راست,32459736,2,08:30:00,13:30:00,خیابان هزار و یک شب کوچه 5 ابتدای کوچه سمت راست,False,True,False,False,False,False,False,True,4,4,4,4,0,30.28581765902334,57.03630566596985
85, باریستا  ,kerman,بلوار حمزه,32457711,2,07:30:00,00:00:00,بلوار حمزه، بین کوچه 24 و 26,False,True,False,False,False,False,True,True,4,4,4,4,0,30.2921544194825,57.03531861305237
86, کیخسرو ,kerman,خیابان زریسف,33127264,1,08:00:00,22:30:00,خیابان زریسف ،خیابان برزو آمیغی ،درب سوم ،سمت راست,False,False,False,False,False,False,True,True,3,4,4,3,0,30.29538749187601,57.08882331848144
87, بی ان دی (هرمزگان) ,bandarabbas,انتهای بلوار دانشگاه,07644873350,2,08:00:00,11:00:00,انتهای بلوار دانشگاه، خیابان پروفسور خشنودی، جنب زمین چمن,False,True,False,False,False,False,False,True,5,5,5,5,0,27.20585728866426,56.3375848531723
88, کنج دنج ,bandarabbas,رسالت شمالی چهارراه پردیس ساختمان ثبت شرکت(ریاضیات خیام),07633740333,1,08:00:00,00:00:00,رسالت شمالی چهارراه پردیس ساختمان ثبت شرکت(ریاضیات خیام),False,False,False,False,False,False,False,True,0,0,0,0,0,27.20478751015614,56.33262138771693
89, ناردین ,bandarabbas,داماهی,07633669610,2,08:30:00,00:00:00,داماهی ، بین گوهران ۱۳ و ۱۵ بعد از قارچ کوچولو,False,False,False,False,False,False,False,True,0,0,0,0,0,27.208936,56.342692
90, سالمونت ,bandarabbas,بلوار ساحلی,07633335153,3,08:00:00,00:00:00,بلوار ساحلی ،  نبش کوچه ساحل ۱۰، جنب مبل کوروش,False,False,False,True,False,False,False,True,2,2,2,3,0,27.1829877774418,56.31291389465332
91, هنر ,bandarabbas,خیابان اتوبوسرانی,,1,08:00:00,00:00:00,خیابان اتوبوسرانی ، فروزان 27,False,True,False,False,False,False,False,True,0,0,0,0,0,27.20426161311666,56.34042332270235
92, راش ,bandarabbas,خواجه عطا بلوار وحدت جنوبی به سمت دریا,,2,09:00:00,23:00:00,خواجه عطا بلوار وحدت جنوبی به سمت دریا  ، بعد از بازار ماهی فروشی،  روبروی کارواش پویا,False,False,False,False,False,False,False,True,1,1,1,2,0,27.183436,56.310795
93, کوکو ,bandarabbas,خيابان اتوبوسرانى جنوبى,,2,08:00:00,23:30:00,خيابان اتوبوسرانى جنوبى ، انتهاى كوچه جنت,False,False,False,False,False,False,False,True,0,0,0,0,0,27.20308533193749,56.34099125862121
94, پیانو ,bandarabbas,خیابان رسالت جنوبی بلوار12فروردین,09133239334,2,11:00:00,00:00:00,خیابان رسالت جنوبی بلوار12فروردین ،به طرف ۹ دی,False,True,False,False,False,False,False,True,0,0,0,0,0,27.19346167004784,56.34425282478332
95, فین ,bandarabbas,سیم بالا,07633334747,2,07:30:00,00:00:00,سیم بالا ، روبروی فرمانداری,False,False,True,False,False,False,False,True,0,0,0,0,0,27.1820429314824,56.2960052490234
96, تراس (مشهد) ,mashhad,مشهد,05131660,2,08:00:00,23:00:00,مشهد، بلوار وکیل آباد، بین امامت 6 و 8,False,True,False,False,False,False,True,True,5,4,5,4,0,36.32147031584075,59.53302383422851
97, مجموعه غذایی تراس ,mashhad,بلوار وکیل آباد,05131660,2,08:00:00,00:00:00,بلوار وکیل آباد ، بلوار امامت ، بین امامت ۶ و ۸,False,False,False,False,False,False,False,True,0,0,0,0,0,36.32147031584075,59.53302919864654
98, پردیسان (هتل پردیسان مشهد) ,mashhad,بزرگراه کلانتری بعد از میدان استقلال هتل پردیسان,513909,2,11:00:00,00:00:00,بزرگراه کلانتری بعد از میدان استقلال هتل پردیسان,False,False,False,False,False,False,True,True,0,0,0,0,0,36.30060307592185,59.53622134723878
99, بوکافه (مشهد) ,mashhad,سه راه فلسطین.دستغیب 10,05137605364,2,09:00:00,23:00:00,سه راه فلسطین.دستغیب 10,False,False,False,False,False,False,False,True,0,0,0,0,0,36.31015411664746,59.56628322601318
100, آرون (مشهد) ,mashhad,كوثر شمالي ١,05138823132,2,08:00:00,00:00:00,"كوثر شمالي ١ ، لاله ١ پلاك ١
( وكيل اباد ١٠ ، لاله ، پلاك ١",False,False,False,False,False,False,False,True,0,0,0,0,0,36.32111589907588,59.5198380947113
101, صندلی ,mashhad,وكيل اباد 15,36013191,2,09:00:00,00:00:00,وكيل اباد 15 ، نبش شهيد قاسمي 1,False,True,False,True,False,False,False,True,0,0,0,0,0,36.3222671711148,59.5217914763841
102, شکر (احمد آباد) ,mashhad,احمد آباد,38420131,2,08:00:00,00:00:00,احمد آباد ، بلوار ملاصدرا ، ملاصدرا 4,False,True,False,False,False,False,False,True,4,4,4,4,0,36.29504023664463,59.57299947738647
103, شکر (سجاد) ,mashhad,بلوار سجاد,37676664,2,09:00:00,00:00:00,بلوار سجاد ، خیابان بهار 2 ، پلاک 8,False,True,False,False,False,False,False,True,3,4,5,3,0,36.31849230046303,59.55378413200378
104, کوک ,mashhad,بلوار خیام,37638358,2,08:00:00,00:00:00,بلوار خیام ، خیام 10 ، خیابان زنبق,False,True,False,True,False,False,False,True,0,0,0,0,0,36.31148119676116,59.55475777387619
105, لئون ,mashhad,بزرگراه کلانتری,09123848002,2,10:00:00,23:45:00,بزرگراه کلانتری ، مجموعه توریستی آبادگران ، ایران برج 1 ، B1,False,True,False,False,False,False,False,True,0,0,0,0,0,36.26853199889231,59.55186367034912
106, رترو (مشهد) ,mashhad,بلوار پیروزی,35098085,2,13:30:00,00:00:00,بلوار پیروزی ، بین پیروزی 79 و 81 ، شماره 79,False,True,False,True,False,False,False,True,0,0,0,0,0,36.3321526046607,59.4655005971642
107, 1860 ,mashhad,هاشمیه 91/5,38814117,2,17:00:00,23:30:00,هاشمیه 91/5 ، خیابان سوم سمت چپ ، قطعه آخر,False,True,False,True,False,False,False,True,4,4,5,4,0,36.30161184870307,59.48548436164856
108, نبات ,mashhad,خیابان سلمان فارسی,38443918,2,08:00:00,00:00:00,خیابان سلمان فارسی ، نرسیده به خیابان فلسطین ، نبش صفا,False,True,False,False,False,False,False,True,5,4,4,3,0,36.30513089225756,59.56786036491394
109, کافه 81 ,mashhad,بلوار سجاد,09155083007,2,09:00:00,00:00:00,بلوار سجاد ، خیابان حامد جنوبی 9 ،  پلاک 81,False,False,False,False,False,False,False,True,1,4,5,3,0,36.315477,59.545909
110, کُ کُ (ارومیه) ,urmia,خیابان دانشکده,04433478632,2,10:00:00,22:00:00,خیابان دانشکده، مرکز خرید دانشکده، طبقه دوم,False,True,False,False,False,False,False,True,0,0,0,0,0,37.52591346948916,45.03868550062179
111, آبشار (ارومیه) ,urmia,خیابان شیخ شلتوت,09143496710,2,10:00:00,23:00:00,خیابان شیخ شلتوت، نرسیده به میدان تره بار، روبروی بانک سپه,True,True,False,False,False,False,False,True,0,0,0,0,0,37.54550614587921,45.10617936421113
112, برنیس ,qazvin,بلوار آیت اله خامنه ای,33991012,2,08:00:00,00:00:00,بلوار آیت اله خامنه ای ، روبروی هتل مرمر ، مجتمع نیایش ، جنب درب ورودی مجمتع,False,True,False,False,False,False,False,True,0,0,0,0,0,36.26607747754687,50.0236165523529
113, بام لند دیاکو ,qazvin,بلوار اسد آبادی,02833575753,2,12:00:00,00:00:00,بلوار اسد آبادی، مجتمع تجاری دیاکو,True,False,True,True,True,True,True,True,5,5,5,4,0,36.26427600442358,49.98764812946319
